inscription_id,mutant_name,inscription_number,sat_number,Alpha,Black Uncommon,Block 286,Block 666,Block 78,Block 9,Block 9 450x,Common,First Transaction,Hitman,JPEG,Nakamoto,Omega,Paliblock Palindrome,Palindrome,Pizza,Silk Road,Uncommon,Vintage
075380d17091854002d76cd4c07bbad9298a50297c36b44207e1338d039d8fc1i1,ORDIMUTANT #358,1,3330194968629,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
076da552426538a842ca651a6398d25c341e350938eecf9e9a9badf5bc40d774i0,ORDIMUTANT #84,0,385522892698503,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
076da552426538a842ca651a6398d25c341e350938eecf9e9a9badf5bc40d774i1,ORDIMUTANT #3306,1,385522892698833,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
076da552426538a842ca651a6398d25c341e350938eecf9e9a9badf5bc40d774i2,ORDIMUTANT #2545,2,385522892699163,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
078616463a7f605a66e2a0d16f180d3bacc80e83db1b76a9eb7efd4338eb5b53i0,ORDIMUTANT #2164,0,3071337228446,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
082ba289cd86a1c6e52a7b7bb094fda3efe9249ea620e3a6574bd19f4b73bf6di0,ORDIMUTANT OG#123,0,45536076280,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes
08fbac6d781c462a8d058be1a5ba5adcf6fa9e7248f7dada78e6b129fa7d7956i0,ORDIMUTANT #2880,0,162064278244468,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
08fbac6d781c462a8d058be1a5ba5adcf6fa9e7248f7dada78e6b129fa7d7956i2,ORDIMUTANT #2897,2,162064278245128,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
0902ae10e5424e82542d3c7d5f78533b04d715c505493819eda87194aa6f726ai0,ORDIMUTANT #3908,0,162064278233908,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
0902ae10e5424e82542d3c7d5f78533b04d715c505493819eda87194aa6f726ai1,ORDIMUTANT #1617,1,162064278234238,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
0a0795a25700eb9a4a7622c6678ebb5f306795ec269b1a7fbaf2cc7e274657a7i1,ORDIMUTANT #843,1,281101330000264,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
0a0795a25700eb9a4a7622c6678ebb5f306795ec269b1a7fbaf2cc7e274657a7i2,ORDIMUTANT #2648,2,281101330000594,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
0a0795a25700eb9a4a7622c6678ebb5f306795ec269b1a7fbaf2cc7e274657a7i3,ORDIMUTANT #393,3,281101330000924,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
0a0795a25700eb9a4a7622c6678ebb5f306795ec269b1a7fbaf2cc7e274657a7i4,ORDIMUTANT #1646,4,281101330001254,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
0a0795a25700eb9a4a7622c6678ebb5f306795ec269b1a7fbaf2cc7e274657a7i5,ORDIMUTANT #1147,5,281101330001584,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
0ac4befac44256159ae14842a9e7247b4d25846a688fe1557ab979235d3158b1i0,ORDIMUTANT #4130,0,281101330298944,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
0b0d93d0bc5bc170093f73800d0e09cbb77aa2ed717aef90169a956c40a4a4dci0,ORDIMUTANT #357,0,144432016804144,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
0b0d93d0bc5bc170093f73800d0e09cbb77aa2ed717aef90169a956c40a4a4dci1,ORDIMUTANT #3892,1,144432016804474,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
0b280fbc67245bbf72b12210167382052fbd0ccf556f191ff9d575acffecd9bai0,ORDIMUTANT #1332,0,144432016802494,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
0b6bd5ade6cae87cd3b9b8b1d12587ed64241ce7b2b819a991b1fb25e5f36a50i0,ORDIMUTANT #1683,0,281101330324684,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
0b75b9a0eb4d50e8ab2a3bd095b1514c20f1cfa5c79fc36a7a6d6bd4e37e8cb4i0,ORDIMUTANT #1998,0,281101330026334,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
0b75b9a0eb4d50e8ab2a3bd095b1514c20f1cfa5c79fc36a7a6d6bd4e37e8cb4i1,ORDIMUTANT #2625,1,281101330026664,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
0b8a252f1baca637f8c91d971f0a2800cf8f6b816f8598d2347754c12be8c271i0,ORDIMUTANT #2855,0,898102537743695,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
0b92f46b98768a6fdebc60b2010041363e0cdfead54994779e69e04b5ef96dc7i0,ORDIMUTANT #2376,0,281101330024354,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
0b92f46b98768a6fdebc60b2010041363e0cdfead54994779e69e04b5ef96dc7i1,ORDIMUTANT #4145,1,281101330024684,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
0baf5955590ccbf7da280a3ba78ec68a7e943e9d6b419bd49f82c3856e7866e4i0,ORDIMUTANT #2606,0,385522892720943,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
